question,answer,category,keywords,times_asked,created_at
"What is the dormitory check-out time?","Check-out time is by 12 PM on move-out day. Late check-out available with prior approval.",Dormitory,"dormitory,check-out,time",0,2024-01-01
"What is the dormitory curfew?","Curfew is from 10 PM to 6 AM. Students must be in dormitory during curfew hours.",Dormitory,"dormitory,curfew,time",0,2024-01-01
"What is the dormitory guest policy?","Guests allowed only with prior permission from dormitory office. Overnight guests not allowed.",Dormitory,"dormitory,guest,policy",0,2024-01-01
"What is the dormitory laundry policy?","Laundry facilities available in dormitory. Free for residents. Open 24/7.",Dormitory,"dormitory,laundry,policy",0,2024-01-01
"What courses are offered?","We offer Computer Science, Engineering, Business, Accounting, Natural Sciences, and Social Sciences etc.",Academics,"courses,programs,departments",0,2024-01-01
"How to check exam results?","Check results through student portal using your ID and password.",Academics,"result,grades,exam,score",0,2024-01-01
"What is the grading scale?","A(85-100)=4.0, B(70-84)=3.0, C(50-69)=2.0, D(35-49)=1.0, F(below 35)=0.0",Academics,"grading,gpa,scale",0,2024-01-01
"What is academic probation?","Probation when GPA below 2.0. Two semesters to improve or suspension.",Academics,"probation,gpa,suspension",0,2024-01-01
"What is the academic calendar?","First semester: Sep-Jan, Second semester: Feb-July. Summer break: August.",Academics,"calendar,semester,dates",0,2024-01-01
"How to register for classes?","Register through registration office during registration period. Select courses and submit.",Academics,"register,classes,courses,registration",0,2024-01-01
"What is the credit hour system?","Each course has credit hours. Full-time students must take at least 12 credit hours per semester.",Academics,"credit hours,full-time,part-time",0,2024-01-01
"What is the course withdrawal policy?","Withdraw by week 8 without penalty. After week 8, withdrawal requires approval and may incur fees.",Academics,"course withdrawal,drop course,policy",0,2024-01-01
"What is the academic advising process?","Academic advising available through student services. Schedule appointment for guidance on course selection and career planning.",Academics,"advising,academic advisor,appointment",0,2024-01-01
"What is the graduation requirement?","To graduate, students must complete required credit hours, maintain minimum GPA, and submit graduation application in final semester.",Academics,"graduation,requirements,credit hours,gpa",0,2024-01-01
"What is the thesis requirement for postgraduate students?","Postgraduate students must complete a thesis project under faculty supervision, including proposal, research, and defense.",Academics,"thesis,postgraduate,requirement",0,2024-01-01
"What is the internship requirement?","Some programs require an internship for graduation. Check with your department for specific requirements.",Academics,"internship,requirement,graduation",0,2024-01-01
"What is the policy on academic integrity?","Academic integrity is expected. Violations include plagiarism, cheating, and fabrication. Penalties range from warning to expulsion.",Academics,"academic integrity,plagiarism,cheating,policy",0,2024-01-01
"What is the policy on course attendance?","Attendance is expected for all courses. Some instructors may have specific attendance policies. Check with your instructor.",Academics,"attendance,policy,course",0,2024-01-01
"What is the policy on course retakes?","Students may retake a course if they receive a failing grade. Retake policies vary by department. Check with your academic advisor.",Academics,"course retake,policy,retake",0,2024-01-01
"What is the policy on academic appeals?","Students may appeal academic decisions through the academic appeals process. Submit appeal form to registrar's office with supporting documentation.",Academics,"academic appeals,policy,appeal",0,2024-01-01
"What is the policy on academic leave?","Students may request academic leave for personal, medical, or other reasons. Submit leave request form to registrar's office with supporting documentation.",Academics,"academic leave,policy,leave",0,2024-01-01
"What is the policy on academic dismissal?","Students may be dismissed for academic reasons if they fail to meet minimum GPA requirements after probation period. Dismissal decisions can be appealed.",Academics,"academic dismissal,policy,dismissal",0,2024-01-01
"What is the policy on academic honors?","Students with high academic achievement may be eligible for honors such as Dean's List or graduation with honors. Check with your department for specific criteria.",Academics,"academic honors,policy,honors",0,2024-01-01
"How to get student ID card?","ID cards issued at registrar's office after registration. Fee: 100 ETB.",Services,"id card,student id,identification",0,2024-01-01
"How to contact registrar?","Email: registrar@mekdela.edu.et, Phone: 033-123-4567",Services,"contact,registrar,phone,email",0,2024-01-01
"How to withdraw from a course?","Course withdrawal deadline is week 8. Submit form to registrar's office.",Registration,"withdrawal,drop course",0,2024-01-01
"How to apply for leave of absence?","Submit leave of absence form to registrar's office with supporting documentation.",Services,"leave of absence,academic leave,policy",0,2024-01-01
"How to request transcript?","Request transcripts through student portal. Fee: 200 ETB for regular processing, 500 ETB for expedited.",Services,"transcript,request,fee",0,2024-01-01
"How to access counseling services?","Counseling services available through student services. Schedule appointment for support with personal, academic, or career issues.",Services,"counseling,services,appointment",0,2024-01-01
"How to access career services?","Career services available through student services. Schedule appointment for resume review, job search assistance, and career counseling.",Services,"career services,appointment,resume,job search",0,2024-01-01
"How to access disability services?","Disability services available through student services. Contact office for accommodations and support.",Services,"disability services,accommodations,support",0,2024-01-01
"How to access financial aid?","Financial aid available through registrar's office. Submit application with required documentation by January 30.",Services,"financial aid,scholarship,application",0,2024-01-01
"How to access tutoring services?","Tutoring services available through student services. Schedule appointment for academic support in various subjects.",Services,"tutoring,services,appointment,academic support",0,2024-01-01
"How to access library resources?","Library resources available to all students. Access online databases and physical materials during library hours.",Services,"library resources,access,databases,materials",0,2024-01-01
"How to access health services?","Health services available at medical center. Open 24/7 for emergencies and regular hours for non-emergency care.",Services,"health services,medical center,access",0,2024-01-01
"How to access IT support?","IT support available through computer lab. Contact lab staff for assistance with technical issues.",Services,"IT support,computer lab,technical assistance",0,2024-01-01
